UWI,Formatted UWI,License Number,Formation,Lab Name,Test Interval Top (m),Test Interval Bottom (m),Condensate Flag,Sample Point Description,Sample Pressure,Sample Temperature,Received Pressure,Received Temperature,H2S,CO2,N2,H2,HE,C1,C2,C3,IC4,NC4,IC5,NC5,C6,C7 Plus,C7,C8,C9,C10 Plus,Gas Relative Density,Gas Molecular Weight,Gas Gross Heat Value Moisture Free,Gas Gross Heat Value Moisture And Acid Gas Free,Calculated PCP Sampled,Calculated TCP Sampled,Molecular Weight Of C7 Plus,Province,Sample Date
100010105720W500,100/01-01-057-20W5/00,0086316,Card SD Coalspur,Core Laboratories,2153.0,2181.0,N,Separator Meter Run,750.0,18.0,738.0,22.0,0.0,0.0073,0.0071,0.0,0.0001,0.8071,0.0885,0.0551,0.0063,0.0174,0.0043,0.0043,0.0013,0.0012,,,,,0.717,20.8,,46.56,4581.4,219.6,94.5,AB,2007-07-09
100010205720W500,100/01-02-057-20W5/00,0089639,Cardium,Core Laboratories,2129.2,2154.0,N,Separator Meter Run,605.0,23.0,550.0,22.0,0.0,0.0068,0.0089,0.0,0.0001,0.8243,0.0765,0.0483,0.0057,0.0164,0.0046,0.0046,0.0024,0.0014,,,,,0.707,20.5,,45.86,4575.7,217.1,92.0,AB,2007-07-09
100010205720W500,100/01-02-057-20W5/00,0089639,CARDIUM FM,Core Labs,2129.2,2154.0,N,,,,,,0.0,0.0065,0.0094,0.0001,0.0004,0.8659,0.069,0.0355,0.0032,0.0075,0.0012,0.001,0.0003,0.0001,,,,,0.653,,,,,,,AB,2000-01-27
100010205922W500,100/01-02-059-22W5/00,0411704,CARDIUM,AGAT Laboratories,1925.0,2497.0,N,METER RUN,42.0,6.0,1.0,21.0,0.0,0.0041,0.0564,0.0,0.0002,0.7408,0.0879,0.0666,0.0075,0.0216,0.0051,0.0051,0.0028,0.0019,,,,,0.763,22.1,,46.3,4496.9,220.5,103.9,AB,2009-10-18
100010205922W500,100/01-02-059-22W5/00,0411704,Cardium AA,Core Laboratories Canada,1862.8,2497.0,N,Meter Run @ 6-2,1000.0,10.0,931.0,22.0,0.0,0.0054,0.0099,0.0,0.0002,0.8323,0.0826,0.0443,0.0049,0.0122,0.0028,0.0028,0.0013,0.0013,,,,,0.689,20.0,,44.8,4582.2,214.3,104.1,AB,2012-05-07
100010205922W500,100/01-02-059-22W5/00,0411704,Cardium,Core Laboratories Canada,1925.0,2497.0,N,Meter Run,2000.0,6.0,1691.0,22.0,0.0,0.0043,0.0567,0.0,0.0002,0.8135,0.0809,0.0271,0.0027,0.0081,0.0017,0.0017,0.0011,0.002,,,,,0.678,19.6,,41.28,4535.3,206.0,102.6,AB,2009-12-01
100011105720W503,100/01-11-057-20W5/03,0091869,SECOND WHITE SPECKS,Core Laboratories Canada Ltd.,2576.0,2587.0,N,,,,,,0.0,0.0075,0.0032,0.0,0.0001,0.86,0.0857,0.029,0.0045,0.0046,0.0021,0.0019,0.0008,0.0006,,,,,0.657,,,,,,,AB,2000-03-14
100021905320W500,100/02-19-053-20W5/00,0251378,Upper Lower Cardium,Core Laboratories,2205.0,2217.2,N,,,,,,0.0,0.0098,0.0045,0.0001,0.0002,0.8261,0.0859,0.0435,0.0058,0.0132,0.0037,0.0034,0.0021,0.0018,,,,,0.7,,,,,,,AB,2001-04-05
100021905320W500,100/02-19-053-20W5/00,0251378,Cardium Undefined,Core Laboratories,2184.0,2217.2,Y,,,,,,0.0,0.0092,0.0041,0.0001,0.0001,0.8397,0.0812,0.0356,0.0045,0.0105,0.0033,0.0032,0.0027,0.0059,,,,,0.697,,,,,,,AB,2001-12-12
100021905320W500,100/02-19-053-20W5/00,0251378,Cardium Sand,Core Laboratories,2184.0,2217.2,N,,,,,,0.0,0.0003,0.0366,0.0001,0.0009,0.9068,0.0355,0.0141,0.0021,0.0026,0.0007,0.0003,0.0001,0.0,,,,,0.609,,,,,,,AB,2003-02-03
