uwi,formatted uwi,tvd top depth (m),tvd bottom depth (m),tmd top depth (m),tmd bottom depth (m),formation name
100010105720W500,100/01-01-057-20W5/00,1859.9,1934.41,1861.2,1936.1,LEA PARK FM
100010105720W500,100/01-01-057-20W5/00,1934.41,2059.56,1936.1,2061.5,COLORADO GRP
100010105720W500,100/01-01-057-20W5/00,2059.56,2132.99,2061.5,2135,BADHEART FM
100010105720W500,100/01-01-057-20W5/00,2132.99,2150.88,2135,2152.9,CARDIUM FM
100010105720W500,100/01-01-057-20W5/00,2150.88,2179.27,2152.9,2181.3,CARDIUM SD
100010105720W500,100/01-01-057-20W5/00,2179.27,1000000,2181.3,1000000,BLACKSTONE FM
100010105720W502,100/01-01-057-20W5/02,1859.9,1934.41,1861.2,1936.1,LEA PARK FM
100010105720W502,100/01-01-057-20W5/02,1934.41,2059.56,1936.1,2061.5,COLORADO GRP
100010105720W502,100/01-01-057-20W5/02,2059.56,2132.99,2061.5,2135,BADHEART FM
100010105720W502,100/01-01-057-20W5/02,2132.99,2150.88,2135,2152.9,CARDIUM FM
100010105720W502,100/01-01-057-20W5/02,2150.88,2179.27,2152.9,2181.3,CARDIUM SD
100010105720W502,100/01-01-057-20W5/02,2179.27,1000000,2181.3,1000000,BLACKSTONE FM
100010205720W500,100/01-02-057-20W5/00,1834,1907,1834,1907,LEA PARK FM
100010205720W500,100/01-02-057-20W5/00,1907,2034,1907,2034,COLORADO GRP
100010205720W500,100/01-02-057-20W5/00,2034,2110,2034,2110,BADHEART FM
100010205720W500,100/01-02-057-20W5/00,2110,2129,2110,2129,CARDIUM FM
100010205720W500,100/01-02-057-20W5/00,2129,1000000,2129,1000000,CARDIUM SD
100010805619W500,100/01-08-056-19W5/00,2059.76,2087.73,2059.97,2087.93,CARDIUM FM
100010805619W500,100/01-08-056-19W5/00,2087.73,2249.92,2087.93,2250.16,CARDIUM SD
100010805619W500,100/01-08-056-19W5/00,2249.92,2454.34,2250.16,2455.28,SECOND WHITE SPECKS
100010805619W500,100/01-08-056-19W5/00,2454.34,2491.2,2455.28,2494.03,BASE FISH SCALES MARKER
100010805619W500,100/01-08-056-19W5/00,2491.2,2509.73,2494.03,2514.19,PEACE RIVER FM
100010805619W500,100/01-08-056-19W5/00,2509.73,2515.06,2514.19,2520.08,HARMON MBR
100010805619W500,100/01-08-056-19W5/00,2515.06,2655.73,2520.08,2757.34,SPIRIT RIVER FM
100010805619W500,100/01-08-056-19W5/00,2655.73,1000000,2757.34,1000000,WILRICH MBR
100011105720W500,100/01-11-057-20W5/00,1817.3,1902,1817.3,1902,LEA PARK FM
100011105720W500,100/01-11-057-20W5/00,1902,2027.5,1902,2027.5,COLORADO GRP
100011105720W500,100/01-11-057-20W5/00,2027.5,2102,2027.5,2102,BADHEART FM
100011105720W500,100/01-11-057-20W5/00,2102,2119.4,2102,2119.4,CARDIUM FM
100011105720W500,100/01-11-057-20W5/00,2119.4,1000000,2119.4,1000000,CARDIUM SD
100011105720W502,100/01-11-057-20W5/02,1817.3,1902,1817.3,1902,LEA PARK FM
100011105720W502,100/01-11-057-20W5/02,1902,2027.5,1902,2027.5,COLORADO GRP
100011105720W502,100/01-11-057-20W5/02,2027.5,2102,2027.5,2102,BADHEART FM
100011105720W502,100/01-11-057-20W5/02,2102,2119.4,2102,2119.4,CARDIUM FM
100011105720W502,100/01-11-057-20W5/02,2119.4,1000000,2119.4,1000000,CARDIUM SD
100011105720W503,100/01-11-057-20W5/03,2224,2480.5,2224,2480.5,SECOND WHITE SPECKS
100011105720W503,100/01-11-057-20W5/03,2480.5,2518,2480.5,2518,BASE FISH SCALES MARKER
100011105720W503,100/01-11-057-20W5/03,2518,2539,2518,2539,VIKING SANDSTONE
100011105720W503,100/01-11-057-20W5/03,2539,2545,2539,2545,JOLI FOU FM
100011105720W503,100/01-11-057-20W5/03,2545,2766,2545,2766,MANNVILLE GRP
100011105720W503,100/01-11-057-20W5/03,2766,2781,2766,2781,BLUESKY FM
100011105720W503,100/01-11-057-20W5/03,2781,2844,2781,2844,GETHING FM
100011105720W503,100/01-11-057-20W5/03,2844,2858,2844,2858,CADOMIN FM
100011105720W503,100/01-11-057-20W5/03,2858,1000000,2858,1000000,FERNIE GRP
100011105720W504,100/01-11-057-20W5/04,2224,2480.5,2224,2480.5,SECOND WHITE SPECKS
100011105720W504,100/01-11-057-20W5/04,2480.5,2518,2480.5,2518,BASE FISH SCALES MARKER
100011105720W504,100/01-11-057-20W5/04,2518,2539,2518,2539,VIKING SANDSTONE
100011105720W504,100/01-11-057-20W5/04,2539,2545,2539,2545,JOLI FOU FM
100011105720W504,100/01-11-057-20W5/04,2545,2766,2545,2766,MANNVILLE GRP
100011105720W504,100/01-11-057-20W5/04,2766,2781,2766,2781,BLUESKY FM
100011105720W504,100/01-11-057-20W5/04,2781,2844,2781,2844,GETHING FM
100011105720W504,100/01-11-057-20W5/04,2844,2858,2844,2858,CADOMIN FM
100011105720W504,100/01-11-057-20W5/04,2858,1000000,2858,1000000,FERNIE GRP
100012305619W500,100/01-23-056-19W5/00,1722.5,2045.5,1722.5,2045.5,LEA PARK FM
100012305619W500,100/01-23-056-19W5/00,2045.5,2394,2045.5,2394,CARDIUM SD
100012305619W500,100/01-23-056-19W5/00,2394,2431.5,2394,2431.5,BASE FISH SCALES MARKER
100012305619W500,100/01-23-056-19W5/00,2431.5,2459,2431.5,2459,VIKING SANDSTONE
100012305619W500,100/01-23-056-19W5/00,2459,2661.5,2459,2661.5,MANNVILLE GRP
100012305619W500,100/01-23-056-19W5/00,2661.5,2674,2661.5,2674,BLUESKY FM
100012305619W500,100/01-23-056-19W5/00,2674,2752.5,2674,2752.5,GETHING FM
100012305619W500,100/01-23-056-19W5/00,2752.5,2782,2752.5,2782,FERNIE GRP
100012305619W500,100/01-23-056-19W5/00,2782,1000000,2782,1000000,NORDEGG MBR
100012505520W500,100/01-25-055-20W5/00,1740.14,1979.54,1740.14,1979.54,LEA PARK FM
100012505520W500,100/01-25-055-20W5/00,1979.54,2000.64,1979.54,2000.64,BADHEART FM
100012505520W500,100/01-25-055-20W5/00,2000.64,2087.53,2000.64,2087.53,MUSKIKI FM
100012505520W500,100/01-25-055-20W5/00,2087.53,2113.5,2087.53,2113.5,CARDIUM FM
100012505520W500,100/01-25-055-20W5/00,2113.5,2158.41,2113.5,2158.41,CARDIUM SD
100012505520W500,100/01-25-055-20W5/00,2158.41,2410.45,2158.41,2410.45,BLACKSTONE FM
100012505520W500,100/01-25-055-20W5/00,2410.45,2495,2410.45,2495,DUNVEGAN FM
100012505520W500,100/01-25-055-20W5/00,2495,2530.39,2495,2530.39,BASE FISH SCALES MARKER
100012505520W500,100/01-25-055-20W5/00,2530.39,2546.15,2530.39,2546.15,PEACE RIVER FM
