 ,Unnamed: 1,Unnamed: 2,PINE CREEK,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
 ,,,ANNUAL CATHODIC PROTECTION STRUCTURE-TO-ELECTROLYTE POTENTIAL DATA,,,,,,,,,,,,,,
 ,,,2022,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Location,Lease Type,Secondary Description,Reading Point Information,,,,,,,,,,,,,,
,,,Point Description,"Foreign
Description",Coords.,,License-Line,Material,"Operational
Status",Potentials (-mV),,,,VAC,RF-IT,"Swain
Meter",Comments
,,,,,Lat,Long,,,,Structure,,Foreign,,,,,
,,,,,,,,,,On,Off,On,Off,,,,
,,,,,,,,,,,,,,,,,
AlphaBow Energy Ltd. - Pine Creek Facilities - 12-09-055-18 W5M Gathering System - Group #1,,,,,,,,,,,,,,,,,
"Group #1 steel assets are protected by Rectifier (R-1) located at 12-09-055-18 W5M.  Anodes protect aluminum assets, non-metallic-to-steel transitions, and extremeties.  Locations are listed from South-East to North-West. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
09-28-054-18 W5M,Well Site,(DH: 08-28),"3"" Pipeline South",Facilities,53.696707,116.582263,33724 - 15,S,O,1585,1020,820,820,,,0mA,MA-1
,,,,,,,,,,,,,,,,,
15-28-054-18 W5M,Riser,,Aluminum Pipeline to 5-33,Facilities,53.698991,116.588917,17784 - 40,A,O,1140,1070,760,760,,,,ZA-1
15-28-054-18 W5M,Riser,,Pipeline to well,Facilities,53.698991,116.588917,On lease,,,765,765,,,,,,No protection required for on lease pipeline.
15-28-054-18 W5M,Riser,,Steel Line from 08-28,Facilities,53.698991,116.588917,33724 - 15,S,O,1555,1555,760,760,,,,"3"" pigtrap."
,,,,,,,,,,,,,,,,,
02-30-054-18 W5M,Well,,"3"" North Pipeline at building",Facilities,53.689942,116.64182,33724 - 5,A,O,1280,1160,833,833,,,,ZA-2 - ZA5; Potentials recorded with all anodes disconnected
,,,,,,,,,,,,,,,,,
10-31-054-18 W5M,Well Site,,Steel Riser @ Well,Facilities,53.711478,116.637505,40645 - 1,P,O,1565,915,720,720,,,,MA-2; Non-metallic pipeline.  Steel transition protected by anode. Disconnected from well.
,,,,,,,,,,,,,,,,,
15-32-054-18 W5M,Well Site,,"2"" Pipeline to 13-33",Facilities,53.712895,116.614005,17784 - 38,S,O,2300,1160,760,760,1.2,,,
,,,,,,,,,,,,,,,,,
05-33-054-18 W5M,Well Site,,"2"" Pipeline to 07-04",Facilities,53.70496,116.601016,17784 - 37,S,O,2260,1130,785,785,,,,
05-33-054-18 W5M,Well Site,,"2"" Pipeline to 07-04",Facilities,53.70496,116.601016,17784 - 41,S,O,2260,1130,785,785,,,,
