Pipeline_ID,Licence_No,Substance,MAOP_kPa,Material,Length_m,Age_Years,H2S_Content,From_Location,To_Location,Base_Risk_Score,Risk_Multiplier,Final_Risk_Score,Priority,Restoration_Days,Applied_Multipliers,Water_Crossing,Corrosive_Environment
AB-56757-2,56757,Salt Water,9000.0,Steel,1350,21.2,0.45,08-28-040-01W4,10-21-040-01W4,0.87,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,True
AB-51780-1,51780,Natural Gas,9930.0,Steel,580,15.8,0.0,06-02-059-22W5,11-02-059-22W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-51590-2,51590,Natural Gas,7880.0,Steel,920,16.1,0.0,04-21-059-22W5,13-16-059-22W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-46360-3,46360,Natural Gas,7880.0,Steel,170,19.3,0.0,10-07-060-21W5,10-07-060-21W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-46360-8,46360,Natural Gas,7880.0,Steel,100,20.0,0.0,10-09-060-21W5,15-09-060-21W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-46360-11,46360,Natural Gas,7880.0,Steel,110,18.9,0.0,01-08-060-21W5,01-08-060-21W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-46360-10,46360,Natural Gas,7880.0,Steel,1050,19.8,0.0,14-04-060-21W5,04-09-060-21W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-46360-4,46360,Natural Gas,7880.0,Steel,1980,19.1,0.0,10-07-060-21W5,07-08-060-21W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-46360-9,46360,Natural Gas,7880.0,Steel,2330,19.8,0.0,07-08-060-21W5,10-09-060-21W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-46360-12,46360,Natural Gas,7880.0,Steel,510,16.7,0.0,12-09-060-21W5,06-09-060-21W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-51590-1,51590,Natural Gas,7880.0,Steel,460,16.1,0.0,09-12-060-23W5,08-12-060-23W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-48383-1,48383,Natural Gas,9680.0,Steel,910,18.8,0.0,01-13-061-21W5,16-13-061-21W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-47342-1,47342,Sour Natural Gas,9930.0,Steel,2930,19.4,21.0,01-13-061-21W5,12-14-061-21W5,0.82,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,True
AB-53535-1,53535,Natural Gas,9930.0,Steel,1050,13.8,0.0,13-13-061-21W5,05-13-061-21W5,0.67,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-6011-3,6011,Natural Gas,4960.0,Steel,1750,25.0,0.0,10-15-064-20W5,10-14-064-20W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-6011-4,6011,Natural Gas,4960.0,Steel,2300,25.0,0.0,10-14-064-20W5,10-24-064-20W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-6011-2,6011,Natural Gas,4960.0,Steel,1950,25.0,0.0,07-16-064-20W5,10-15-064-20W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-6056-13,6056,Natural Gas,,Steel,5000,25.0,0.0,12-01-065-19W5,04-27-064-19W5,0.57,18.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); Age >20 years (1.8x),False,False
AB-6056-16,6056,Natural Gas,4960.0,Steel,1360,28.4,0.0,03-35-064-19W5,10-34-064-19W5,0.82,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-59567-1,59567,Natural Gas,9650.0,Steel,1090,25.0,0.03,16-34-064-19W5,08-21-064-19W5,0.87,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,True
AB-6056-7,6056,Natural Gas,4960.0,Steel,950,25.0,0.0,12-23-064-19W5,10-22-064-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-6056-1,6056,Natural Gas,4960.0,Steel,4400,25.0,0.0,04-27-064-19W5,08-09-064-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-59567-2,59567,Natural Gas,9650.0,Steel,2100,25.0,0.03,08-21-064-19W5,07-16-064-19W5,0.87,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,True
AB-6056-6,6056,Natural Gas,4960.0,Steel,1100,25.0,0.0,10-22-064-19W5,04-27-064-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-6056-14,6056,Natural Gas,4960.0,Steel,500,30.8,0.0,12-19-064-19W5,05-19-064-19W5,0.82,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-6056-10,6056,Natural Gas,4960.0,Steel,3700,25.0,0.0,10-24-064-20W5,10-17-064-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-6056-15,6056,Natural Gas,4960.0,Steel,800,29.1,0.0,02-20-064-19W5,10-17-064-19W5,0.82,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-6056-11,6056,Natural Gas,4960.0,Steel,2400,25.0,0.0,10-17-064-19W5,04-15-064-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-6056-2,6056,Natural Gas,4960.0,Steel,2400,25.0,0.0,10-17-064-19W5,04-15-064-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-6011-1,6011,Natural Gas,6720.0,Steel,2730,25.0,0.0,10-05-064-19W5,08-09-064-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-59567-3,59567,Natural Gas,9650.0,Steel,1300,25.0,0.03,07-16-064-19W5,12-10-064-19W5,0.87,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,True
AB-6056-12,6056,Natural Gas,4960.0,Steel,3200,25.0,0.0,11-06-065-18W5,12-01-065-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-40455-1,40455,Natural Gas,9930.0,Steel,780,22.2,0.0,02-02-059-18W5,10-34-058-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-50451-2,50451,Natural Gas,,Steel,1250,15.4,0.0,01-33-057-20W5,05-33-057-20W5,0.52,10.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x),False,False
AB-51416-4,51416,Oil Well Effluent,,Steel,730,15.4,0.0,04-34-057-20W5,01-33-057-20W5,0.52,10.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x),False,False
AB-50451-1,50451,Natural Gas,9930.0,Steel,150,17.2,0.0,03-22-057-20W5,06-22-057-20W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-51416-2,51416,Oil Well Effluent,,Steel,550,25.0,0.0,11-22-057-20W5,03-22-057-20W5,0.57,18.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); Age >20 years (1.8x),False,False
AB-51416-1,51416,Oil Well Effluent,9930.0,Steel,680,16.4,0.0,02-22-057-20W5,03-22-057-20W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-33724-10,33724,Natural Gas,5100.0,Steel,120,23.2,0.0,11-31-056-19W5,11-31-056-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-33724-16,33724,Natural Gas,5100.0,Steel,1340,15.4,0.0,13-11-057-20W5,11-11-057-20W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-33724-11,33724,Natural Gas,5100.0,Steel,2500,22.7,0.0,16-31-056-19W5,01-32-056-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-33724-17,33724,Natural Gas,5100.0,Steel,3950,25.0,0.0,01-32-056-19W5,03-21-056-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-20485-1,20485,Oil Well Effluent,,Steel,1200,25.0,0.0,06-28-056-19W5,07-29-056-19W5,0.57,18.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); Age >20 years (1.8x),False,False
AB-20485-2,20485,Oil Well Effluent,5100.0,Steel,60,25.0,0.0,07-29-056-19W5,07-29-056-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-20485-3,20485,Oil Well Effluent,5100.0,Steel,2310,25.0,0.0,07-29-056-19W5,03-21-056-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-50590-4,50590,Oil Well Effluent,5100.0,Steel,2780,25.0,0.0,15-21-056-19W5,03-21-056-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-50590-1,50590,Oil Well Effluent,,Steel,1170,25.0,0.0,16-16-056-19W5,03-21-056-19W5,0.57,18.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); Age >20 years (1.8x),False,False
AB-29725-7,29725,Natural Gas,5100.0,Steel,3680,25.0,0.0,14-08-056-19W5,03-21-056-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-53908-1,53908,Natural Gas,9930.0,Steel,540,13.5,0.0,13-28-055-19W5,09-29-055-19W5,0.67,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-32114-3,32114,Natural Gas,5100.0,Steel,300,17.3,0.0,07-28-055-19W5,02-28-055-19W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-32114-4,32114,Natural Gas,5100.0,Steel,2110,17.3,0.0,11-22-055-19W5,02-28-055-19W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-33723-3,33723,Natural Gas,5100.0,Steel,1840,22.0,0.0,12-21-055-19W5,11-22-055-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-33723-2,33723,Natural Gas,5100.0,Steel,890,22.2,0.0,04-21-055-19W5,12-21-055-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-61058-1,61058,Natural Gas,9930.0,Steel,1720,27.2,0.0,02-28-055-19W5,04-29-055-19W5,0.82,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-32114-2,32114,Natural Gas,6890.0,Steel,2000,26.7,0.0,11-22-055-19W5,11-23-055-19W5,0.82,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-17784-2,17784,Oil Well Effluent,,Steel,1770,26.6,0.0,11-25-055-19W5,16-24-055-19W5,0.62,18.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); Age >20 years (1.8x),False,False
AB-17784-39,17784,Oil Well Effluent,5100.0,Steel,90,17.0,0.0,05-19-055-18W5,04-19-055-18W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-17784-9,17784,Oil Well Effluent,5100.0,Steel,3360,25.0,0.0,16-24-055-19W5,11-17-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-25941-1,25941,Oil Well Effluent,,Steel,400,32.8,0.0,01-19-055-18W5,16-18-055-18W5,0.62,18.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); Age >20 years (1.8x),False,False
AB-16266-1,16266,Oil Well Effluent,5100.0,Steel,890,25.0,0.0,16-18-055-18W5,11-17-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-17784-10,17784,Oil Well Effluent,,Steel,890,25.0,0.0,16-18-055-18W5,11-17-055-18W5,0.57,18.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); Age >20 years (1.8x),False,False
AB-26352-1,26352,Natural Gas,5100.0,Steel,1200,32.3,0.0,04-30-055-18W5,16-24-055-19W5,0.82,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-19378-2,19378,Oil Well Effluent,,Steel,1000,25.0,0.0,12-19-055-18W5,04-30-055-18W5,0.57,18.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); Age >20 years (1.8x),False,False
AB-19378-1,19378,Oil Well Effluent,5100.0,Steel,700,25.0,0.0,12-30-055-18W5,04-30-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-32903-1,32903,Oil Well Effluent,,Steel,970,26.1,0.0,04-36-055-19W5,11-25-055-19W5,0.62,18.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); Age >20 years (1.8x),False,False
AB-19548-6,19548,Natural Gas,9930.0,Steel,1520,14.1,0.0,07-10-056-19W5,14-02-056-19W5,0.67,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-50590-6,50590,Oil Well Effluent,5100.0,Steel,4230,25.0,0.0,03-21-056-19W5,07-10-056-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-50590-8,50590,Oil Well Effluent,5100.0,Steel,360,25.0,0.0,04-15-056-19W5,06-15-056-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-17784-1,17784,Oil Well Effluent,5100.0,Steel,890,25.0,0.0,04-09-055-18W5,12-09-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-17784-27,17784,Oil Well Effluent,5100.0,Steel,1460,25.0,0.0,14-04-055-18W5,12-09-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-17784-31,17784,Oil Well Effluent,5100.0,Steel,1970,25.0,0.0,10-04-055-18W5,12-09-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-17784-29,17784,Oil Well Effluent,5100.0,Steel,440,25.0,0.0,07-04-055-18W5,10-04-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-17784-38,17784,Oil Well Effluent,5100.0,Steel,820,19.6,0.0,15-32-054-18W5,13-33-054-18W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-17784-37,17784,Oil Well Effluent,5100.0,Steel,2030,25.0,0.0,05-33-054-18W5,07-04-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-17784-41,17784,Oil Well Effluent,5100.0,Steel,2020,25.0,0.0,05-33-054-18W5,07-04-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-17784-34,17784,Oil Well Effluent,5100.0,Steel,1100,25.0,0.0,13-33-054-18W5,07-04-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-17784-35,17784,Oil Well Effluent,5100.0,Steel,1100,25.0,0.0,13-33-054-18W5,07-04-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-33724-15,33724,Natural Gas,5100.0,Steel,730,15.7,0.0,09-28-054-18W5,15-28-054-18W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-33724-4,33724,Natural Gas,4970.0,Steel,600,25.1,0.0,16-22-054-18W5,13-23-054-18W5,0.82,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-33724-9,33724,Natural Gas,,Steel,750,24.0,0.0,07-22-054-18W5,16-22-054-18W5,0.57,18.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); Age >20 years (1.8x),False,False
AB-17784-24,17784,Oil Well Effluent,5100.0,Steel,1610,25.0,0.0,16-05-055-18W5,12-09-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-17784-22,17784,Oil Well Effluent,5100.0,Steel,920,25.0,0.0,08-08-055-18W5,12-09-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-17784-18,17784,Oil Well Effluent,,Steel,1760,25.0,0.0,14-08-055-18W5,12-09-055-18W5,0.57,18.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); Age >20 years (1.8x),False,False
AB-17784-17,17784,Oil Well Effluent,5100.0,Steel,1760,25.0,0.0,14-08-055-18W5,12-09-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
