uwi,formatted uwi,date,top measure (m) (m),bottom measure (m) (m),formation,treatment
100022905619W500,100/02-29-056-19W5/00,1984-08-27,2351,2356,SECOND WHITE SPECKS,JET PERFORATION
100022905619W500,100/02-29-056-19W5/00,1984-09-02,2333,2349.7,SECOND WHITE SPECKS,JET PERFORATION
100022905619W500,100/02-29-056-19W5/00,1984-09-03,2333,2349.7,SECOND WHITE SPECKS,FRACTURED
100041505619W500,100/04-15-056-19W5/00,1982-01-07,2305,2310,SECOND WHITE SPECKS,JET PERFORATION
100041505619W500,100/04-15-056-19W5/00,1982-01-11,2305,2313,SECOND WHITE SPECKS,ACID SQUEEZE - PRESS USED
100041505619W500,100/04-15-056-19W5/00,1982-01-11,2310,2313,SECOND WHITE SPECKS,JET PERFORATION
100041505619W500,100/04-15-056-19W5/00,1982-01-20,2095,2097,CARDIUM SD,JET PERFORATION
100041505619W500,100/04-15-056-19W5/00,1982-01-20,2112,2114,CARDIUM SD,JET PERFORATION
100041505619W500,100/04-15-056-19W5/00,1982-01-24,2095,2114,CARDIUM SD,FRACTURED
100041505619W500,100/04-15-056-19W5/00,1982-02-23,2290,0,SECOND WHITE SPECKS,THROUGH TUBING PACKER
100041505619W500,100/04-15-056-19W5/00,1987-05-05,2313,2317,SECOND WHITE SPECKS,JET PERFORATION
100041505619W500,100/04-15-056-19W5/00,1987-05-06,2305,2317,SECOND WHITE SPECKS,ACID SQUEEZE - PRESS USED
100062105619W500,100/06-21-056-19W5/00,1982-10-23,2297,2309,SECOND WHITE SPECKS,JET PERFORATION
100062105619W500,100/06-21-056-19W5/00,1982-10-24,2297,2309,SECOND WHITE SPECKS,ACID SQUEEZE - PRESS USED
100062105619W500,100/06-21-056-19W5/00,1982-10-28,2282,2290,SECOND WHITE SPECKS,BRIDGE PLUG CAPPED W/CEMENT
100062105619W500,100/06-21-056-19W5/00,1982-10-29,2252,2275,SECOND WHITE SPECKS,JET PERFORATION
100062105619W500,100/06-21-056-19W5/00,1982-10-30,2252,2275,SECOND WHITE SPECKS,ACID SQUEEZE - PRESS USED
100071005619W500,100/07-10-056-19W5/00,1973-01-13,2189.1,2192.1,SECOND WHITE SPECKS,JET PERFORATION
100071005619W500,100/07-10-056-19W5/00,1973-01-13,2192.1,2198.2,SECOND WHITE SPECKS,JET PERFORATION
100071005619W500,100/07-10-056-19W5/00,1973-01-13,2225,2232.7,SECOND WHITE SPECKS,BRIDGE PLUG CAPPED W/CEMENT
100071005619W500,100/07-10-056-19W5/00,2003-01-09,2189.1,2195.1,SECOND WHITE SPECKS,JET PERFORATION
100071005619W500,100/07-10-056-19W5/00,2003-01-09,2195.1,2200.7,SECOND WHITE SPECKS,JET PERFORATION
100071005619W500,100/07-10-056-19W5/00,2003-01-10,2189.1,2200.7,SECOND WHITE SPECKS,ACID SQUEEZE - PRESS USED
100092005619W500,100/09-20-056-19W5/00,1980-05-09,2380,2390,SECOND WHITE SPECKS,JET PERFORATION
100092005619W500,100/09-20-056-19W5/00,1980-05-12,2380,2390,SECOND WHITE SPECKS,FRACTURED
100092005619W500,100/09-20-056-19W5/00,1980-05-16,2372,2390,SECOND WHITE SPECKS,ACID SQUEEZE - PRESS USED
100092005619W500,100/09-20-056-19W5/00,1980-05-16,2372,2377,SECOND WHITE SPECKS,JET PERFORATION
100092005619W500,100/09-20-056-19W5/00,1980-06-13,2187.8,2191.5,CARDIUM SD,JET PERFORATION
100092005619W500,100/09-20-056-19W5/00,1980-06-13,2198,2199,CARDIUM SD,JET PERFORATION
100092005619W500,100/09-20-056-19W5/00,1980-06-15,2187.8,2199,CARDIUM SD,FRACTURED
100092005619W500,100/09-20-056-19W5/00,2006-10-30,2331,2339,SECOND WHITE SPECKS,BRIDGE PLUG CAPPED W/CEMENT
100092005619W500,100/09-20-056-19W5/00,2006-11-01,2186,0,CARDIUM SD,BRIDGE PLUG
100120205619W500,100/12-02-056-19W5/00,1980-08-30,1974.2,1977,CARDIUM SD,JET PERFORATION
100120205619W500,100/12-02-056-19W5/00,1980-08-30,1984.8,1985.6,CARDIUM SD,JET PERFORATION
100120205619W500,100/12-02-056-19W5/00,1980-09-01,1974.2,1985.6,CARDIUM SD,FRACTURED
100120205619W500,100/12-02-056-19W5/00,1980-09-06,2164,2180,SECOND WHITE SPECKS,JET PERFORATION
100120205619W500,100/12-02-056-19W5/00,1980-09-10,2164,2180,SECOND WHITE SPECKS,ACID SQUEEZE - PRESS USED
100120205619W500,100/12-02-056-19W5/00,1980-09-16,1974.2,1985.6,CARDIUM SD,ACID SQUEEZE - PRESS USED
100120205619W500,100/12-02-056-19W5/00,2004-09-24,2156.1,0,SECOND WHITE SPECKS,PACKER
100161605619W500,100/16-16-056-19W5/00,1975-08-17,2164.1,2165,SECOND WHITE SPECKS,JET PERFORATION
100161605619W500,100/16-16-056-19W5/00,1975-08-17,2284.5,2285.4,SECOND WHITE SPECKS,JET PERFORATION
100161605619W500,100/16-16-056-19W5/00,1975-08-19,2164.1,2165,SECOND WHITE SPECKS,CEMENT SQUEEZE
100161605619W500,100/16-16-056-19W5/00,1975-08-19,2281.4,2301.2,SECOND WHITE SPECKS,CEMENT PLUG
100161605619W500,100/16-16-056-19W5/00,1975-08-21,2252.5,2267.7,SECOND WHITE SPECKS,JET PERFORATION
100161605619W500,100/16-16-056-19W5/00,1975-08-22,2252.5,2267.7,SECOND WHITE SPECKS,ACID WASH - NO PRESSURE
100161605619W500,100/16-16-056-19W5/00,1975-08-23,2252.5,2267.7,SECOND WHITE SPECKS,ACID SQUEEZE - PRESS USED
