UWI,Formatted UWI,CA Number,CA Core Number,CA Interval Top,Line Core,Interval Depth (m),Interval Length,Kmax,K90,Kvert,Porosity,Grain Density,Bulk Density,Bulk Mass Oil,Bulk Mass Water,Bulk Mass Sand,Pore Volume Oil,Pore Volume Water,Bulk Volume Oil,Bulk Volume Water,Grain Mass Oil,Grain Mass Water,Lithology
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,DE,2050,1.73,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,DE,2051.73,0.24,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,SS,2051.97,0.27,0.08,,,0.065,2630,,,,,,,,,,,SS  VF
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,DE,2052.24,0.1,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,SS,2052.34,0.21,0.2,,,0.105,2640,,,,,,,,,,,SS  VF
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,DE,2052.55,0.29,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,SS,2052.84,0.24,0.11,,,0.102,2630,,,,,,,,,,,SS  VF
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,SS,2053.08,0.24,0.11,,,0.114,2650,,,,,,,,,,,SS  VF
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,SS,2053.32,0.18,0.12,,,0.097,2630,,,,,,,,,,,SS  VF
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,DE,2053.5,0.13,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,SS,2053.63,0.09,0.04,,,0.082,2630,,,,,,,,,,,SS  VF  ARGL
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,SS,2053.72,0.15,0.11,,,0.1,2630,,,,,,,,,,,SS  VF  ARGL
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,SS,2053.87,0.16,0.15,,,0.115,2630,,,,,,,,,,,SS  VF  ARGL
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,SS,2054.03,0.16,0.26,,,0.116,2640,,,,,,,,,,,SS  VF
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,DE,2054.19,0.4,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,SS,2054.59,0.09,0.09,,,0.077,2630,,,,,,,,,,,SS  VF  ARGL
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,SS,2054.68,0.16,0.07,,,0.09,2740,,,,,,,,,,,SS  VF  ARGLSID
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,DE,2054.84,0.07,,,,,,,,,,,,,,,,NOT ANALYSED - SHALE
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,SS,2054.91,0.2,0.08,,,0.078,2630,,,,,,,,,,,SS  VF
100062105619W500,100/06-21-056-19W5/00,033432,1,2050,SS,2055.11,0.2,0.02,,,0.046,2660,,,,,,,,,,,SS  VF  ARGL
