uwi,formatted uwi,tvd top depth (m),tvd bottom depth (m),tmd top depth (m),tmd bottom depth (m),formation name
100022905619W500,100/02-29-056-19W5/00,1565,1810,1565,1810,BELLY RIVER GRP
100022905619W500,100/02-29-056-19W5/00,1810,1911.5,1810,1911.5,LEA PARK FM
100022905619W500,100/02-29-056-19W5/00,1911.5,2036,1911.5,2036,COLORADO GRP
100022905619W500,100/02-29-056-19W5/00,2036,2109.5,2036,2109.5,BADHEART FM
100022905619W500,100/02-29-056-19W5/00,2109.5,2128,2109.5,2128,CARDIUM FM
100022905619W500,100/02-29-056-19W5/00,2128,2240,2128,2240,CARDIUM SD
100022905619W500,100/02-29-056-19W5/00,2240,1000000,2240,1000000,SECOND WHITE SPECKS
100041505619W500,100/04-15-056-19W5/00,1483,1782,1483,1782,BELLY RIVER GRP
100041505619W500,100/04-15-056-19W5/00,1782,1872,1782,1872,LEA PARK FM
100041505619W500,100/04-15-056-19W5/00,1872,2075.5,1872,2075.5,COLORADO GRP
100041505619W500,100/04-15-056-19W5/00,2075.5,2095,2075.5,2095,CARDIUM FM
100041505619W500,100/04-15-056-19W5/00,2095,2247,2095,2247,CARDIUM SD
100041505619W500,100/04-15-056-19W5/00,2247,1000000,2247,1000000,SECOND WHITE SPECKS
100062105619W500,100/06-21-056-19W5/00,1426,1728.5,1426,1728.5,BELLY RIVER GRP
100062105619W500,100/06-21-056-19W5/00,1728.5,1803,1728.5,1803,LEA PARK FM
100062105619W500,100/06-21-056-19W5/00,1803,1957,1803,1957,COLORADO GRP
100062105619W500,100/06-21-056-19W5/00,1957,2032,1957,2032,BADHEART FM
100062105619W500,100/06-21-056-19W5/00,2032,2051.5,2032,2051.5,CARDIUM FM
100062105619W500,100/06-21-056-19W5/00,2051.5,2163.5,2051.5,2163.5,CARDIUM SD
100062105619W500,100/06-21-056-19W5/00,2163.5,1000000,2163.5,1000000,SECOND WHITE SPECKS
100071005619W500,100/07-10-056-19W5/00,1339.6,1649.6,1339.6,1649.6,BELLY RIVER GRP
100071005619W500,100/07-10-056-19W5/00,1649.6,1752.6,1649.6,1752.6,LEA PARK FM
100071005619W500,100/07-10-056-19W5/00,1752.6,1959.9,1752.6,1959.9,COLORADO GRP
100071005619W500,100/07-10-056-19W5/00,1959.9,1978.8,1959.9,1978.8,CARDIUM FM
100071005619W500,100/07-10-056-19W5/00,1978.8,2090.9,1978.8,2090.9,CARDIUM SD
100071005619W500,100/07-10-056-19W5/00,2090.9,2334.8,2090.9,2334.8,SECOND WHITE SPECKS
100071005619W500,100/07-10-056-19W5/00,2334.8,2371.3,2334.8,2371.3,BASE FISH SCALES MARKER
100071005619W500,100/07-10-056-19W5/00,2371.3,2398.2,2371.3,2398.2,VIKING SANDSTONE
100071005619W500,100/07-10-056-19W5/00,2398.2,2598.1,2398.2,2598.1,MANNVILLE GRP
100071005619W500,100/07-10-056-19W5/00,2598.1,2612.1,2598.1,2612.1,BLUESKY FM
100071005619W500,100/07-10-056-19W5/00,2612.1,2665.8,2612.1,2665.8,GETHING FM
100071005619W500,100/07-10-056-19W5/00,2665.8,2724.9,2665.8,2724.9,FERNIE GRP
100071005619W500,100/07-10-056-19W5/00,2724.9,2785,2724.9,2785,NORDEGG MBR
100071005619W500,100/07-10-056-19W5/00,2785,2807.2,2785,2807.2,TRIASSIC SYSTEM
100071005619W500,100/07-10-056-19W5/00,2807.2,2817.9,2807.2,2817.9,ELKTON MBR
100071005619W500,100/07-10-056-19W5/00,2817.9,1000000,2817.9,1000000,SHUNDA FM
100092005619W500,100/09-20-056-19W5/00,1516,1848,1516,1848,BELLY RIVER GRP
100092005619W500,100/09-20-056-19W5/00,1848,1951.5,1848,1951.5,LEA PARK FM
100092005619W500,100/09-20-056-19W5/00,1951.5,2078,1951.5,2078,COLORADO GRP
100092005619W500,100/09-20-056-19W5/00,2078,2152.5,2078,2152.5,BADHEART FM
100092005619W500,100/09-20-056-19W5/00,2152.5,2172,2152.5,2172,CARDIUM FM
100092005619W500,100/09-20-056-19W5/00,2172,2283.5,2172,2283.5,CARDIUM SD
100092005619W500,100/09-20-056-19W5/00,2283.5,1000000,2283.5,1000000,SECOND WHITE SPECKS
100120205619W500,100/12-02-056-19W5/00,1626,1730.5,1626,1730.5,LEA PARK FM
100120205619W500,100/12-02-056-19W5/00,1730.5,1861,1730.5,1861,COLORADO GRP
100120205619W500,100/12-02-056-19W5/00,1861,1923,1861,1923,BADHEART FM
100120205619W500,100/12-02-056-19W5/00,1923,1956,1923,1956,CARDIUM FM
100120205619W500,100/12-02-056-19W5/00,1956,2068.3,1956,2068.3,CARDIUM SD
100120205619W500,100/12-02-056-19W5/00,2068.3,1000000,2068.3,1000000,SECOND WHITE SPECKS
100161605619W500,100/16-16-056-19W5/00,1457.6,1722.4,1457.6,1722.4,BELLY RIVER GRP
100161605619W500,100/16-16-056-19W5/00,1722.4,1817.8,1722.4,1817.8,LEA PARK FM
100161605619W500,100/16-16-056-19W5/00,1817.8,1950.4,1817.8,1950.4,COLORADO GRP
100161605619W500,100/16-16-056-19W5/00,1950.4,2025.4,1950.4,2025.4,BADHEART FM
100161605619W500,100/16-16-056-19W5/00,2025.4,2044.9,2025.4,2044.9,CARDIUM FM
100161605619W500,100/16-16-056-19W5/00,2044.9,2156.2,2044.9,2156.2,CARDIUM SD
100161605619W500,100/16-16-056-19W5/00,2156.2,1000000,2156.2,1000000,SECOND WHITE SPECKS
