"LICENSE /
LINE #",COMPANY NAME,"LICENSE
DATE","FROM
LOCATION","TO
LOCATION","LGTH
(kms)",STS,SUB,"H2S
(mol/
kmol)","OD
(mm)","WT
(mm)",MAT,TYPE,GRD,"MOP
(kpa)",JNT,"INTL
COAT","STRESS
LEVEL
(%)",ENV,FIELD
6011 -  1,ALPHABOW ENERGY LTD.,JUN 28 1996,10-5-64-19W5 WE,8-9-64-19W5 GP,2.73,O,NG,0,168.3,4.78,S,UUUUUU,B   ,6720,W,U,49,  ,KAYBOB
6011 -  2,ALPHABOW ENERGY LTD.,APR 12 2001,7-16-64-20W5 WE,10-15-64-20W5 PL,1.95,O,NG,0,88.9,4.78,S,5LX   ,X42 ,4960,W,U,16,  ,KAYBOB
6011 -  3,ALPHABOW ENERGY LTD.,APR 12 2001,10-15-64-20W5 PL,10-14-64-20W5 PL,1.75,O,NG,0,88.9,4.78,S,5LX   ,X42 ,4960,W,U,16,  ,KAYBOB
6011 -  4,ALPHABOW ENERGY LTD.,APR 12 2001,10-14-64-20W5 PL,10-24-64-20W5 PL,2.3,O,NG,0,114.3,4.78,S,5LX   ,X42 ,4960,W,U,20,  ,KAYBOB
6056 -  1,ALPHABOW ENERGY LTD.,APR 8 1994,4-27-64-19W5 PL,8-9-64-19W5 GP,4.4,O,NG,0,273.1,5.16,S,5LX   ,X42 ,4960,W,U,45,  ,KAYBOB
6056 -  2,ALPHABOW ENERGY LTD.,APR 8 1994,10-17-64-19W5 WE,4-15-64-19W5 PL,2.4,O,NG,0,114.3,4.78,S,5L    ,B   ,4960,W,U,25,  ,KAYBOB
6056 -  10,ALPHABOW ENERGY LTD.,APR 8 1994,10-24-64-20W5 WE,10-17-64-19W5 PL,3.7,O,NG,0,168.3,4.78,S,5LX   ,X42 ,4960,W,U,30,  ,KAYBOB
6056 -  11,ALPHABOW ENERGY LTD.,APR 8 1994,10-17-64-19W5 WE,4-15-64-19W5 PL,2.4,O,NG,0,168.3,5.16,S,5LX   ,X42 ,4960,W,U,28,  ,KAYBOB
6056 -  12,ALPHABOW ENERGY LTD.,APR 8 1994,11-6-65-18W5 WE,12-1-65-19W5 PL,3.2,O,NG,0,114.3,4.78,S,5LX   ,X42 ,4960,W,U,20,  ,KAYBOB
6056 -  13,ALPHABOW ENERGY LTD.,APR 8 1994,12-1-65-19W5 BE,4-27-64-19W5 BE,5,A,NG,0,168.3,4.78,S,5LX   ,X42 ,0,W,U,0,  ,KAYBOB
6056 -  14,ALPHABOW ENERGY LTD.,SEP 14 1995,12-19-64-19W5 WE,5-19-64-19W5 PL,0.5,O,NG,0,114.3,3.2,S,Z245.1,2901,4960,W,U,31,  ,KAYBOB
6056 -  15,ALPHABOW ENERGY LTD.,DEC 12 1996,2-20-64-19W5 WE,10-17-64-19W5 PL,0.8,O,NG,0,114.3,4,S,Z245.1,2901,4960,W,U,24,  ,KAYBOB
6056 -  16,ALPHABOW ENERGY LTD.,JUL 29 1997,3-35-64-19W5 WE,10-34-64-19W5 PL,1.36,O,NG,0,114.3,4.8,S,Z245.1,2901,4960,W,U,20,  ,KAYBOB
16266 -  1,ALPHABOW ENERGY LTD.,DEC 3 2009,16-18-55-18W5 WE,11-17-55-18W5 S ,0.89,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
17784 -  1,ALPHABOW ENERGY LTD.,AUG 6 2009,4-9-55-18W5 WE,12-9-55-18W5 B ,0.89,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
17784 -  9,ALPHABOW ENERGY LTD.,AUG 6 2009,16-24-55-19W5 S ,11-17-55-18W5 PL,3.36,O,OE,0,114.3,4.78,S,Z245.3,2901,5100,W,U,21,  ,PINE CREEK
17784 -  10,ALPHABOW ENERGY LTD.,AUG 6 2009,16-18-55-18W5 BE,11-17-55-18W5 BE,0.89,D,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,  ,PINE CREEK
17784 -  14,ALPHABOW ENERGY LTD.,AUG 6 2009,11-17-55-18W5 S ,12-9-55-18W5 B ,2.19,O,OE,0,168.3,4.78,S,Z245.3,2901,5100,W,U,31,  ,PINE CREEK
17784 -  17,ALPHABOW ENERGY LTD.,AUG 6 2009,14-8-55-18W5 WE,12-9-55-18W5 B ,1.76,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
17784 -  18,ALPHABOW ENERGY LTD.,AUG 6 2009,14-8-55-18W5 BE,12-9-55-18W5 BE,1.76,D,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,  ,PINE CREEK
17784 -  19,ALPHABOW ENERGY LTD.,AUG 6 2009,2-17-55-18W5 WE,12-9-55-18W5 B ,1.2,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
17784 -  22,ALPHABOW ENERGY LTD.,AUG 6 2009,8-8-55-18W5 WE,12-9-55-18W5 B ,0.92,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
17784 -  24,ALPHABOW ENERGY LTD.,AUG 6 2009,16-5-55-18W5 WE,12-9-55-18W5 B ,1.61,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
17784 -  27,ALPHABOW ENERGY LTD.,AUG 6 2009,14-4-55-18W5 WE,12-9-55-18W5 B ,1.46,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
17784 -  29,ALPHABOW ENERGY LTD.,AUG 6 2009,7-4-55-18W5 S ,10-4-55-18W5 PL,0.44,O,OE,0,114.3,4.78,S,Z245.3,2901,5100,W,U,21,  ,PINE CREEK
17784 -  31,ALPHABOW ENERGY LTD.,AUG 6 2009,10-4-55-18W5 PL,12-9-55-18W5 B ,1.97,O,OE,0,114.3,4.78,S,Z245.3,2901,5100,W,U,21,CC,PINE CREEK
17784 -  34,ALPHABOW ENERGY LTD.,AUG 6 2009,13-33-54-18W5 WE,7-4-55-18W5 S ,1.1,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
17784 -  35,ALPHABOW ENERGY LTD.,AUG 6 2009,13-33-54-18W5 PL,7-4-55-18W5 S ,1.1,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
17784 -  37,ALPHABOW ENERGY LTD.,AUG 6 2009,5-33-54-18W5 WE,7-4-55-18W5 S ,2.03,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
17784 -  38,ALPHABOW ENERGY LTD.,AUG 6 2009,15-32-54-18W5 WE,13-33-54-18W5 PL,0.82,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
17784 -  39,ALPHABOW ENERGY LTD.,AUG 6 2009,5-19-55-18W5 WE,4-19-55-18W5 PL,0.09,O,OE,0,88.9,4,S,Z245.1,3592,5100,W,U,16,  ,PINE CREEK
17784 -  40,ALPHABOW ENERGY LTD.,DEC 3 2009,15-28-54-18W5 WE,5-33-54-18W5 PL,1.17,O,OE,0,82.6,3.6,A,6063  ,T1B ,5100,H,U,68,  ,PINE CREEK
17784 -  41,ALPHABOW ENERGY LTD.,DEC 3 2009,5-33-54-18W5 PL,7-4-55-18W5 S ,2.02,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
19378 -  1,ALPHABOW ENERGY LTD.,NOV 20 2008,12-30-55-18W5 WE,4-30-55-18W5 B ,0.7,O,OE,0,88.9,3.96,S,Z245.3,2901,5100,W,U,20,  ,PINE CREEK
19378 -  2,ALPHABOW ENERGY LTD.,NOV 20 2008,12-19-55-18W5 BE,4-30-55-18W5 BE,1,D,OE,0,88.9,3.96,S,Z245.3,2901,0,W,U,0,  ,PINE CREEK
19548 -  6,ALPHABOW ENERGY LTD.,JUN 2 2012,7-10-56-19W5 CS,14-2-56-19W5 PL,1.52,O,NG,0,168.3,4.8,S,Z245.1,3592,9930,W,U,48,  ,PINE CREEK
20485 -  1,ALPHABOW ENERGY LTD.,NOV 20 2008,6-28-56-19W5 BE,7-29-56-19W5 BE,1.2,D,OE,0,88.9,3.18,S,Z245.3,2901,0,W,U,0,  ,PINE CREEK
20485 -  2,ALPHABOW ENERGY LTD.,NOV 20 2008,7-29-56-19W5 WE,7-29-56-19W5 S ,0.06,O,OE,0,60.3,3.91,S,A106  ,B   ,5100,W,U,16,  ,PINE CREEK
20485 -  3,ALPHABOW ENERGY LTD.,NOV 20 2008,7-29-56-19W5 S ,3-21-56-19W5 S ,2.31,O,OE,0,88.9,3.18,S,Z245.3,2901,5100,W,U,25,  ,PINE CREEK
