License #,Well UWI,Status,Licensee,Company WI%,Deemed Liability
0239709,102/07-31-051-17W5/00,Suspended Gas,AlphaBow Energy Ltd.,0.21,119130
0374330,100/10-36-051-28W5/00,Drilled & Cased,AlphaBow Energy Ltd.,1,55625
0044453,100/15-22-052-16W5/00,Suspended Oil,AlphaBow Energy Ltd.,0.7,89908
0206894,102/06-21-052-17W5/00,Pumping Gas,AlphaBow Energy Ltd.,0.42,119130
0151491,100/08-07-053-18W5/02,Flowing Oil,AlphaBow Energy Ltd.,0.35,128429
0149762,102/10-07-053-18W5/00,Suspended Gas,AlphaBow Energy Ltd.,0.2905,96270
0259201,100/10-36-053-18W5/02,Suspended Oil,AlphaBow Energy Ltd.,0.7,89908
0252239,100/04-06-053-19W5/00,Flowing Gas,AlphaBow Energy Ltd.,0.42,96270
0377772,100/12-06-053-19W5/00,Pumping Oil,AlphaBow Energy Ltd.,0.7,108593
0251378,100/02-19-053-20W5/00,Suspended Gas,AlphaBow Energy Ltd.,0.7,108593
0407490,100/11-19-053-20W5/00,Suspended Gas,AlphaBow Energy Ltd.,0.7,108593
0366084,100/16-19-053-20W5/00,Suspended Gas,AlphaBow Energy Ltd.,0.7,108593
0253670,100/07-22-054-18W5/03,Suspended Oil,AlphaBow Energy Ltd.,0.7,108593
0234232,100/16-22-054-18W5/02,Suspended Oil,AlphaBow Energy Ltd.,0.7,119130
0410555,100/08-28-054-18W5/00,Flowing Gas,AlphaBow Energy Ltd.,0.7,84818
0087554,100/15-28-054-18W5/00,Pumping Oil,AlphaBow Energy Ltd.,0.7,89908
0087732,100/10-31-054-18W5/00,Pumping Oil,AlphaBow Energy Ltd.,0.525,108593
0091007,100/15-32-054-18W5/00,Pumping Oil,AlphaBow Energy Ltd.,0.6125,89908
0083558,100/05-33-054-18W5/00,Pumping Oil,AlphaBow Energy Ltd.,0.5541669,105073
0078545,100/13-33-054-18W5/00,Pumping Oil,AlphaBow Energy Ltd.,0.5541669,105073
0208657,100/01-35-054-19W5/02,Pumping Oil,AlphaBow Energy Ltd.,0.7,128429
0150547,100/14-32-055-14W5/00,Flowing Gas,AlphaBow Energy Ltd.,0.8270835,96270
